0 3.5102
1 3.3264
2 3.1532
3 2.9899
4 2.8360
5 2.6908
6 2.5539
7 2.4246
8 2.3026
9 2.1873
10 2.0785
11 1.9756
12 1.8784
13 1.7865
14 1.6995
15 1.6173
16 1.5395
17 1.4658
18 1.3961
19 1.3300
20 1.2674
21 1.2081
22 1.1519
23 1.0985
24 1.0480
25 1.0000
26 0.9545
27 0.9113
28 0.8702
29 0.8313
30 0.7942
31 0.7590
32 0.7256
33 0.6938
34 0.6636
35 0.6348
36 0.6074
37 0.5814
38 0.5566
39 0.5330
40 0.5105
41 0.4891
42 0.4686
43 0.4492
44 0.4306
45 0.4129
46 0.3961
47 0.3800
48 0.3646
49 0.3499
50 0.3359
51 0.3225
52 0.3098
53 0.2976
54 0.2859
55 0.2748
56 0.2641
57 0.2539
58 0.2442
59 0.2348
60 0.2259
61 0.2174
62 0.2092
63 0.2014
64 0.1939
65 0.1867
66 0.1798
67 0.1732
68 0.1669
69 0.1608
70 0.1550
